Company,Date,Close,Adj Close,Volume,Daily Return,% Daily Return
AAPL,10/1/2021,142.65,142.65,94639600,0.01,0.81
AAPL,10/4/2021,139.14,139.14,98322000,-0.02,-2.49
AAPL,10/5/2021,141.11,141.11,80861100,0.01,1.41
AAPL,10/6/2021,142,142,83221100,0.01,0.63
AAPL,10/7/2021,143.29,143.29,61732700,0.01,0.90
AAPL,10/8/2021,142.9,142.9,58718700,0.00,-0.27
AAPL,10/11/2021,142.81,142.81,64452200,0.00,-0.06
AAPL,10/12/2021,141.51,141.51,73035900,-0.01,-0.91
AAPL,10/13/2021,140.91,140.91,78762700,0.00,-0.42
AAPL,10/14/2021,143.76,143.76,69907100,0.02,2.00
AAPL,10/15/2021,144.84,144.84,67885200,0.01,0.75
AAPL,10/18/2021,146.55,146.55,85589200,0.01,1.17
AAPL,10/19/2021,148.76,148.76,76378900,0.01,1.50
AAPL,10/20/2021,149.26,149.26,58418800,0.00,0.34
AAPL,10/21/2021,149.48,149.48,61421000,0.00,0.15
AAPL,10/22/2021,148.69,148.69,58839600,-0.01,-0.53
AAPL,10/25/2021,148.64,148.64,50720600,0.00,-0.03
AMZN,10/1/2021,3283.26,3283.26,2835600,0.00,-0.05
AMZN,10/4/2021,3189.78,3189.78,4523100,-0.03,-2.89
AMZN,10/5/2021,3221,3221,3269200,0.01,0.97
AMZN,10/6/2021,3262.01,3262.01,2533000,0.01,1.27
AMZN,10/7/2021,3302.43,3302.43,2409100,0.01,1.23
AMZN,10/8/2021,3288.62,3288.62,1995500,0.00,-0.42
AMZN,10/11/2021,3246.3,3246.3,2034200,-0.01,-1.30
AMZN,10/12/2021,3247.33,3247.33,1819600,0.00,0.03
AMZN,10/13/2021,3284.28,3284.28,2420100,0.01,1.13
AMZN,10/14/2021,3299.86,3299.86,2109500,0.00,0.47
AMZN,10/15/2021,3409.02,3409.02,5175100,0.03,3.25
AMZN,10/18/2021,3446.74,3446.74,3174100,0.01,1.10
AMZN,10/19/2021,3444.15,3444.15,2386100,0.00,-0.08
AMZN,10/20/2021,3415.06,3415.06,2139800,-0.01,-0.85
AMZN,10/21/2021,3435.01,3435.01,1881400,0.01,0.58
AMZN,10/22/2021,3335.55,3335.55,3133800,-0.03,-2.94
AMZN,10/25/2021,3320.37,3320.37,2226000,0.00,-0.46
FB,10/1/2021,343.01,343.01,14905300,0.01,1.06
FB,10/4/2021,326.23,326.23,42885000,-0.05,-5.02
FB,10/5/2021,332.96,332.96,35377900,0.02,2.04
FB,10/6/2021,333.64,333.64,26443000,0.00,0.20
FB,10/7/2021,329.22,329.22,28307500,-0.01,-1.33
FB,10/8/2021,330.05,330.05,15934300,0.00,0.25
FB,10/11/2021,325.45,325.45,14708200,-0.01,-1.40
FB,10/12/2021,323.77,323.77,31658700,-0.01,-0.52
FB,10/13/2021,324.54,324.54,14761500,0.00,0.24
FB,10/14/2021,328.53,328.53,14302200,0.01,1.22
FB,10/15/2021,324.76,324.76,21575100,-0.01,-1.15
FB,10/18/2021,335.34,335.34,21585000,0.03,3.21
FB,10/19/2021,339.99,339.99,18786300,0.01,1.38
